Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
13,0.0001,0.78848,1.29536,2.08794,0.731104
29,0.0001,0.577568,0.555008,0.65024,0.567296
61,0.0001,0.515104,0.55296,0.979968,0.78336
125,0.0002,0.538656,0.71984,0.65232,0.64
253,0.0002,0.633888,0.632864,0.907296,0.656384
509,0.0005,0.633856,0.694304,1.18886,0.59904
1021,0.0008,0.569344,0.891904,0.685056,0.688128
2045,0.0018,0.550912,0.617472,0.638976,0.569344
4093,0.003,0.7168,0.717824,0.723968,0.535552
8189,0.0047,0.612384,0.74752,2.048,0.603104
16381,0.0083,0.859168,0.954368,2.80166,0.703488
32765,0.017,0.943072,1.08032,1.18374,2.29376
65533,0.0384,1.68653,1.76026,1.4551,1.72646
131069,0.6201,2.30198,2.47706,2.65322,2.95632
262141,1.2854,4.08678,3.93523,4.11546,4.63258
524285,2.4867,7.75987,7.99952,8.76957,8.52685
1048573,5.0989,16.257,14.3882,14.5009,15.0088
2097149,10.2603,31.7532,28.8799,29.1185,29.5444
4194301,20.4964,60.3873,58.8278,57.6676,54.1522
8388605,40.3128,114.596,110.401,107.148,108.373
16777213,77.5941,233.576,223.199,213.902,214.377
33554429,160.059,479.864,444.506,426.532,424.74
67108861,310.585,940.764,880.391,850.781,849.39
13,0.0001,0.631808,0.84992,0.796672,0.902144
29,0.0002,0.632832,0.761856,0.930816,0.739328
61,0.0002,0.592896,0.628736,0.611328,0.681984
125,0.0003,0.617472,0.648192,0.615424,0.68096
253,0.0002,0.740352,0.743424,0.661504,0.703488
509,0.0006,0.65024,0.704512,0.991232,0.889856
1021,0.0011,0.702464,0.857088,0.973824,0.813056
2045,0.001,0.65024,0.805888,0.743424,0.736256
4093,0.0039,0.565248,0.836608,0.723968,0.63488
8189,0.0037,0.797696,0.963584,0.811008,0.756736
16381,0.0078,0.80896,1.34042,0.882688,1.01581
32765,0.0187,1.12026,1.22163,1.11206,1.0967
65533,0.0413,1.47866,1.61894,1.68448,1.46534
131069,0.6038,2.44941,2.62554,2.69722,3.1447
262141,1.1759,4.19226,4.05197,4.53837,4.84966
524285,2.7852,8.05888,8.14592,7.49978,8.51558
1048573,5.4708,14.8449,14.8449,14.3739,15.2842
2097149,9.4267,29.313,28.2839,27.4616,27.3203
4194301,19.2171,56.8422,57.6625,53.3217,52.9981
8388605,37.7091,113.047,111.261,108.136,105.59
16777213,76.128,229.787,221.366,211.114,208.991
33554429,153.625,461.272,432.236,423.523,421.916
67108861,309.95,929.762,891.409,853.208,843.378
13,0.0001,0.616448,1.03526,0.6656,0.697344
29,0.0002,0.519168,0.567296,1.00762,0.649216
61,0.0001,0.638976,0.662528,0.78848,1.10797
125,0.0003,0.622592,0.799744,0.708608,0.676864
253,0.0002,0.879616,0.64,1.27283,0.667648
509,0.0004,0.944128,0.688128,0.694272,0.658432
1021,0.0004,0.644096,0.712704,0.602112,0.591872
2045,0.0008,0.679936,0.913408,0.73728,0.679936
4093,0.0017,0.83456,0.804864,0.775168,0.978944
8189,0.0037,0.802816,0.867328,0.749568,0.73728
16381,0.0083,1.00454,1.01786,1.15917,0.837632
32765,0.0365,1.56672,1.19501,1.04346,1.12026
65533,0.0373,1.46432,1.85344,1.46432,1.72851
131069,0.6008,2.80064,2.41357,3.4089,2.95322
262141,1.3973,4.32538,3.9977,4.93363,5.13741
524285,2.435,8.09882,7.55098,7.58784,8.2217
1048573,4.7008,14.8808,14.8275,14.2336,14.5879
2097149,10.1406,28.5194,29.2884,27.7862,26.9128
4194301,19.2924,56.3579,55.081,53.3289,53.7917
8388605,39.389,113.422,113.037,103.998,106.443
16777213,78.7847,227.882,217.132,212.582,209.703
33554429,157.191,460.56,443.74,424.963,421.019
67108861,306.106,929.059,878.959,857.714,852.817
13,0.0001,0.495616,0.667648,0.856064,0.76288
29,0.0001,0.589824,0.740352,0.66048,0.738304
61,0.0002,0.649216,0.82432,0.751616,0.685056
125,0.0001,0.473088,0.5632,0.621568,0.57856
253,0.0002,0.835584,0.683008,0.708608,0.607232
509,0.0007,0.541696,0.598016,0.567296,0.589824
1021,0.0004,0.833536,0.73216,0.693248,0.617472
2045,0.001,0.970752,0.777216,1.13562,0.923648
4093,0.0041,0.684032,0.997376,0.735232,0.685056
8189,0.0036,0.712704,0.852992,0.83968,0.845824
16381,0.0078,0.854016,1.0455,0.888832,1.11411
32765,0.0178,0.953344,1.13965,1.10285,1.06598
65533,0.0387,1.47661,1.89952,1.56672,1.44077
131069,0.6927,2.30605,2.52826,2.65626,3.09453
262141,1.5262,4.35712,4.20557,4.41549,4.88653
524285,2.4104,7.72301,7.61549,8.00973,8.37018
1048573,5.0729,15.3774,14.7753,14.5295,14.5357
2097149,10.3558,29.7349,28.8512,29.3437,27.819
4194301,19.2896,57.2948,56.0486,54.4645,53.8296
8388605,37.8047,113.704,111.057,104.999,109.691
16777213,83.0659,228.367,220.57,210.781,210.656
33554429,156.668,461.875,434.303,427.41,423.736
67108861,306.02,931.698,893.744,849.746,844.404
13,0.0001,0.579584,0.830464,0.917504,0.920576
29,0.0001,0.589824,0.90624,0.88064,0.779264
61,0.0001,0.638976,0.820224,0.72192,0.67584
125,0.0001,0.61952,0.750592,0.708608,0.796672
253,0.0003,0.581632,0.733184,0.707584,0.623616
509,0.0007,0.535552,0.899072,0.649216,0.748544
1021,0.001,0.6656,0.88064,0.822272,0.770048
2045,0.0008,0.712704,1.55034,0.692224,0.602112
4093,0.002,0.80384,0.776192,0.95232,0.661504
8189,0.0034,0.730112,0.946176,0.784384,0.851968
16381,0.0079,0.908288,1.22368,0.84992,0.894976
32765,0.0344,1.16634,1.2288,1.07315,1.1008
65533,0.0422,1.45613,1.6599,1.55238,1.48992
131069,0.6041,2.82419,2.47296,2.75456,3.67616
262141,1.3412,4.28442,4.06528,4.64579,4.77389
524285,2.5412,7.75578,7.53562,7.69946,8.39885
1048573,5.2878,15.232,14.7005,14.2408,15.6375
2097149,9.3535,29.8168,29.6663,27.86,27.2364
4194301,19.1962,57.2662,55.1875,54.4215,53.8685
8388605,38.4629,113.378,109.612,106,105.99
16777213,77.8652,228.241,218.236,214.232,211.406
33554429,161.005,460.875,443.783,424.462,422.215
67108861,304.557,930.913,880.783,851.778,841.851
13,0.0001,0.553984,0.69632,0.729088,1.19398
29,0.0001,0.622592,0.741376,0.765952,0.772096
61,0.0001,0.671744,0.622592,0.69632,0.770048
125,0.0003,0.618496,0.756736,0.637952,0.763904
253,0.0003,0.5376,0.774144,0.72192,0.677888
509,0.0003,0.607232,0.856064,0.667648,0.62464
1021,0.0007,0.55808,0.780288,0.73728,0.806912
2045,0.0022,0.663552,0.739328,0.69632,0.68096
4093,0.0043,0.84992,0.910336,0.705536,0.770048
8189,0.0037,0.932864,0.777216,0.730112,0.791552
16381,0.0081,0.943104,1.08032,0.98816,0.897024
32765,0.0178,1.04038,1.29024,1.14176,1.0752
65533,0.0369,1.53088,1.67219,1.61894,1.58208
131069,0.7346,2.69722,2.66342,2.66138,3.15085
262141,1.2012,4.33661,4.38784,4.27213,4.82611
524285,2.4312,7.90528,8.16435,8.70093,8.20122
1048573,5.4446,14.9463,14.935,14.3391,14.8285
2097149,9.6761,29.2618,29.1072,28.4826,27.4862
4194301,19.4252,57.4095,55.9575,53.6771,53.8808
8388605,37.4371,113.178,110.583,104.967,108.685
16777213,74.4498,231.726,222.962,211.902,209.821
33554429,154.131,465.281,435.257,423.906,421.071
67108861,305.85,932.215,889.662,847.485,852.606
13,0,0.57856,0.68096,0.668672,0.78848
29,0.0001,0.621568,0.750592,0.708608,0.859136
61,0.0001,0.598016,0.681984,0.744448,0.828416
125,0.0003,0.618496,0.678912,0.7424,0.693248
253,0.0005,0.535552,0.69632,0.756736,0.65536
509,0.0005,0.590848,0.648192,0.656384,0.714752
1021,0.0012,0.714752,0.770048,0.697344,0.695296
2045,0.0014,0.620544,0.676864,0.6912,0.734208
4093,0.0018,0.690176,0.918528,0.764928,0.703488
8189,0.0035,0.863232,0.9216,0.969728,0.842752
16381,0.0077,0.90624,1.41926,0.920576,0.94208
32765,0.0349,0.961536,1.20525,1.24826,1.13664
65533,0.0367,1.43667,1.93024,1.49709,1.4336
131069,0.604,2.26509,2.52006,2.47194,3.03514
262141,1.1701,4.34995,4.04685,4.6377,4.87731
524285,2.4101,7.64416,7.38301,8.05069,8.41318
1048573,4.7037,14.5869,15.2228,14.6125,14.7425
2097149,9.5182,30.0534,28.7293,27.6152,27.7617
4194301,18.8001,56.234,56.2708,53.2111,53.8388
8388605,37.7161,113.55,109.487,104.967,104.497
16777213,77.7443,228.105,217.448,210.647,209.439
33554429,154.452,458.935,443.936,421.392,419.612
67108861,310.091,932.61,879.346,859.103,846.669
13,0.0001,0.627712,0.557056,0.556032,0.666624
29,0.0002,0.427008,0.65536,0.592896,0.766976
61,0.0001,0.632832,0.695296,0.90624,0.862208
125,0.0002,0.485376,0.718848,0.919552,0.88576
253,0.0004,0.545792,0.66048,0.642048,0.83968
509,0.0005,0.571392,0.811008,1.29434,0.82944
1021,0.0007,0.601088,0.843776,0.585728,0.83968
2045,0.0014,0.580608,0.927744,0.912384,0.799744
4093,0.0023,0.549888,0.712704,0.617472,0.58368
8189,0.0035,0.740352,0.780288,0.6656,0.61952
16381,0.0123,0.806912,1.04653,0.784384,0.753664
32765,0.0186,0.966656,1.17862,1.22266,1.09568
65533,0.0379,1.44998,1.61485,1.58925,1.47661
131069,0.6452,2.26918,2.40026,2.69107,3.03616
262141,1.1695,4.72371,4.06221,4.4544,5.74771
524285,2.3428,8.00051,8.45312,7.91962,8.27597
1048573,4.7599,15.0047,14.934,14.5285,14.6125
2097149,10.4525,29.8609,28.4047,26.9343,28.4242
4194301,18.9709,58.199,58.4714,53.8829,55.7578
8388605,40.6591,113.738,110.875,105.146,105.669
16777213,75.2794,229.298,222.233,209.864,215.086
33554429,156.137,462.368,433.102,426.073,422.132
67108861,308.847,931.537,893.808,852.723,850.23
13,0.0001,0.5888,0.631808,0.664576,0.932864
29,0.0001,0.556032,0.812032,0.898048,0.882688
61,0.0002,0.47104,0.794624,0.740352,0.707584
125,0.0002,0.480256,0.646144,0.73216,0.709632
253,0.0001,0.528384,0.704512,0.729088,0.75776
509,0.0004,0.510976,0.736256,0.710656,1.03014
1021,0.0005,0.58368,0.739328,0.726016,0.642048
2045,0.001,0.925696,0.929792,0.73216,0.83968
4093,0.0016,0.687104,1.01683,0.751616,0.730112
8189,0.0039,0.598016,0.76288,0.779264,0.750592
