Array Size,CPU (s),Na‹ve(s),Efficient (s),Shared Memory (s),Thrust (s)
13,0.0002,0.172032,0.093184,0.146432,0.120832
29,0,0.177152,0.125952,0.271392,0.119808
61,0.0001,0.307232,0.13824,0.139264,0.132096
125,0.0001,0.19456,0.151552,0.151552,0.465888
253,0.0002,0.221184,0.179232,0.229376,0.12288
509,0.0006,0.211968,0.185344,0.171008,0.139232
1021,0.0008,0.234464,0.208864,0.1536,0.14336
2045,0.0024,0.25088,0.226304,0.15664,0.1024
4093,0.0027,0.267296,0.228384,0.190496,0.128
8189,0.0042,0.287744,0.331776,0.18944,0.115712
16381,0.0105,0.386048,0.28976,0.152416,0.128
32765,0.0207,0.536576,0.31232,0.16224,0.224256
65533,0.0395,0.65632,0.323584,0.178176,0.188416
131069,0.7155,1.0537,0.370336,0.18944,0.376544
262141,1.3405,2.25283,0.44032,0.2304,0.453632
524285,2.6065,4.23936,0.729088,0.256992,0.318464
1048573,5.1172,7.98003,1.10896,0.453248,0.52624
2097149,9.4513,15.7261,2.74637,0.56528,0.8704
4194301,18.5157,32.8335,3.29872,0.869184,0.729568
8388605,39.8544,63.3057,6.31706,1.52157,0.745472
16777213,77.2047,128.479,10.8278,2.81293,1.21651
33554429,149.632,254.301,29.5578,5.42582,1.85139
67108861,286.12,513.441,54.1204,10.7981,3.32787
13,0.0001,0.162816,0.109568,0.201728,0.141312
29,0.0001,0.310272,0.116736,0.190464,0.14336
61,0.0002,0.1792,0.139264,0.186368,0.140288
125,0.0002,0.190464,0.152576,0.188416,0.14848
253,0.0004,0.18944,0.172032,0.186368,0.150528
509,0.0006,0.19968,0.198656,0.206848,0.132096
1021,0.0008,0.208896,0.21504,0.181248,0.212992
2045,0.0197,0.221184,0.203776,0.200704,0.14336
4093,0.0022,0.23552,0.22528,0.197632,0.145408
8189,0.0037,0.268288,0.26624,0.203776,0.149504
16381,0.0167,0.331776,0.28768,0.257024,0.140256
32765,0.0523,0.423936,0.306176,0.166912,0.140288
65533,0.0401,0.617472,0.321536,0.193536,0.149504
131069,0.6029,1.024,0.463872,0.200704,0.459776
262141,1.216,2.06848,0.384896,0.217088,0.669056
524285,2.3575,4.63315,0.744832,0.274272,0.47104
1048573,4.6846,8.47766,1.35066,0.36704,0.539168
2097149,11.1873,15.5949,3.00954,0.525056,0.566816
4194301,18.7532,31.4044,4.18509,0.920032,0.734624
8388605,37.6479,61.8981,6.65702,1.51242,0.8448
16777213,77.5991,123.857,15.0646,2.88973,1.19654
33554429,144.806,257.691,21.2378,5.45654,1.8385
67108861,288.074,515.017,65.6876,10.9711,3.31923
13,0.0001,0.181248,0.1024,0.185344,0.131072
29,0.0002,0.16384,0.136192,0.173056,0.155648
61,0.0001,0.1792,0.132096,0.181248,0.144384
125,0.0003,0.146432,0.154624,0.18432,0.14848
253,0.0004,0.218112,0.177152,0.185344,0.140288
509,0.0007,0.202752,0.193536,0.3584,0.146432
1021,0.0006,0.280576,0.212992,0.173056,0.229376
2045,0.0018,0.218112,0.232448,0.190464,0.13312
4093,0.0041,0.503808,0.241664,0.156672,0.140288
8189,0.0228,0.268288,0.403456,0.1536,0.155648
16381,0.0082,0.330176,0.289792,0.181248,0.152928
32765,0.018,0.48128,0.303104,0.191488,0.123392
65533,0.0376,0.647168,0.309952,0.156672,0.139264
131069,0.6,1.23187,0.357376,0.156192,0.497664
262141,1.1754,2.28045,0.72192,0.182272,0.3328
524285,2.3429,3.84717,0.700832,0.297984,0.471392
1048573,4.9952,7.5505,1.06019,0.38912,0.5064
2097149,9.7312,15.6122,2.71392,0.56496,0.590368
4194301,20.5255,31.658,3.36486,0.856064,0.755136
8388605,36.7543,64.4387,6.43328,1.64006,0.888384
16777213,77.2401,125.498,10.8857,2.81885,1.23645
33554429,148.738,255.076,29.399,5.44768,1.82144
67108861,288.34,509.624,53.1692,10.9475,3.2768
13,0.0001,0.159744,0.105472,0.187392,0.140288
29,0.0002,0.173056,0.11776,0.185344,0.14336
61,0.0001,0.178176,0.136192,0.192512,0.140288
125,0.0003,0.233472,0.16384,0.186368,0.108544
253,0.0005,0.191488,0.169984,0.186368,0.145408
509,0.0005,0.202752,0.188416,0.187392,0.156672
1021,0.0008,0.509952,0.21504,0.180224,0.151552
2045,0.0009,0.221184,0.242688,0.197632,0.14336
4093,0.002,0.239616,0.217088,0.139264,0.14848
8189,0.0036,0.268288,0.270336,0.196608,0.144384
16381,0.0259,0.3232,0.29184,0.18528,0.150848
32765,0.02,0.47616,0.295936,0.198656,0.11776
65533,0.0407,0.64,0.324608,0.120832,0.11776
131069,0.6192,1.02912,0.35328,0.167936,0.320512
262141,1.2133,2.22208,0.410624,0.217088,0.805216
524285,2.3559,3.81645,0.711296,0.283072,0.487904
1048573,4.4386,7.68205,1.32506,0.3632,0.582656
2097149,9.6248,15.3055,2.04493,0.523584,0.514048
4194301,18.9742,31.0414,4.08986,0.850752,0.657056
8388605,39.026,63.1378,6.69139,1.50938,0.837632
16777213,74.2964,125.872,15.0692,2.84518,1.21094
33554429,147.765,255.306,21.1462,5.45587,1.93587
67108861,288.013,510.592,66.0961,10.8513,3.3807
13,0.0001,0.136192,0.10752,0.187392,0.156672
29,0.0001,0.191488,0.135168,0.185344,0.136192
61,0.0002,0.180224,0.128,0.176128,0.142336
125,0.0001,0.22016,0.150528,0.180224,0.144384
