Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
16,0.0002,0.627712,0.557024,0.727072,0.618464
32,0.0002,0.48128,0.614368,0.636896,1.12845
64,0.0002,0.508928,0.865312,0.692224,0.655392
128,0.0001,0.717792,0.5376,0.506848,2.26714
256,0.0002,0.538624,0.692224,0.647168,0.67072
512,0.0004,0.551936,0.693248,0.728032,0.571392
1024,0.0008,1.0537,0.75264,0.750592,0.622592
2048,0.002,0.531456,0.751616,0.559104,0.848864
4096,0.0029,0.733184,0.852992,0.807968,0.705568
8192,0.0083,0.727072,0.922624,0.742432,0.78336
16384,0.0137,0.996352,1.00762,0.864256,0.743424
32768,0.0295,0.939008,1.09158,0.990208,1.09568
65536,0.0414,1.44592,1.64454,1.50218,1.29946
131072,0.6711,2.38182,2.62144,4.01101,2.81805
262144,1.2246,4.28954,4.75034,4.69603,4.67146
524288,2.5844,7.90118,8.80333,7.86739,8.94259
1048576,4.8169,14.8235,15.0088,14.0308,15.5884
2097152,10.2835,36.31,29.8496,30.1322,28.9464
4194304,19.9311,58.5708,56.3794,54.7676,55.166
8388608,39.4534,117.863,112.068,107.102,106.223
16777216,86.4599,233.671,219.236,214.842,214.238
33554432,146.658,465.16,448.326,426.174,420.749
67108864,289.208,937.827,887.672,852.676,844.179
16,0.0001,0.530432,0.515072,0.523264,0.472064
32,0.0001,0.474112,0.495616,0.989184,0.475136
64,0.0001,0.45056,0.538624,0.63488,0.598016
128,0.0001,0.768,0.524288,0.592896,0.54784
256,0.0004,0.570368,1.35987,0.918528,0.866304
512,0.0006,0.731136,0.856064,0.758784,0.892928
1024,0.0005,0.63488,0.831488,0.580608,0.652288
2048,0.0025,0.653312,0.662528,0.594944,0.574464
4096,0.0022,0.57344,0.7168,0.653312,0.659456
8192,0.0036,0.666624,0.817152,0.678912,0.70144
16384,0.0082,0.774144,0.923648,1.16429,0.801792
32768,0.0894,0.973824,1.42541,1.29024,0.943104
65536,0.035,1.83091,1.58106,1.46637,1.62816
131072,0.6027,2.23846,2.45453,2.65421,2.95424
262144,1.4756,4.68275,3.95366,4.31309,4.70323
524288,2.3412,7.59501,7.7056,8.32102,7.8889
1048576,4.4376,15.5761,14.5428,13.9991,14.9309
2097152,8.8704,29.7062,28.9331,27.2712,27.3408
4194304,22.23,60.0996,57.3563,53.9136,53.6566
8388608,37.1867,115.229,110.331,105.826,105.668
16777216,74.6926,229.801,224.396,211.525,211.056
33554432,144.794,465.141,437.437,425.112,420.765
67108864,293.571,940.084,902.723,853.533,845.424
16,0.0001,0.48128,0.828416,0.8448,0.801792
32,0.0001,0.745472,0.774144,0.856064,0.91648
64,0.0001,0.6144,0.77824,0.794624,0.723968
128,0.0002,0.4864,0.790528,0.580608,0.658432
