Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
16,0.0001,0.177184,0.0952,0.15152,0.114688
32,0.0001,0.18128,0.128032,0.141312,0.120832
64,0.0004,0.178144,0.13312,0.136192,0.115712
128,0.0002,0.183328,0.157696,0.139264,0.115712
256,0.0005,0.203776,0.171008,0.138208,0.192512
512,0.0005,0.20992,0.192544,0.140288,0.11056
1024,0.0008,0.27648,0.205856,0.147488,0.109536
2048,0.0024,0.227328,0.232448,0.137216,0.09216
4096,0.0032,0.301056,0.234496,0.149504,0.10544
8192,0.0048,0.273408,0.258048,0.140288,0.183296
16384,0.0329,0.40144,0.28464,0.157696,0.124928
32768,0.0213,0.433152,0.300032,0.151552,0.114368
65536,0.0575,0.651232,0.32256,0.160768,0.103424
131072,0.6192,1.03526,0.352256,0.146976,0.296992
262144,1.2485,2.08589,0.417792,0.18784,0.392192
524288,2.3498,4.10723,0.79872,1.67424,0.467584
1048576,6.2046,8.21616,1.0783,0.357984,0.479872
2097152,11.3981,15.7663,2.44157,0.564032,0.524256
4194304,20.6636,32.1402,3.36486,0.85504,0.617952
8388608,43.3637,63.6312,7.1895,1.55382,0.844128
16777216,85.4127,129.222,11.3766,2.92944,1.27686
33554432,154.829,259.564,30.4968,5.57008,1.93741
67108864,305.932,534.437,52.2015,11.0404,3.65155
16,0.0001,0.2304,0.11776,0.198656,0.169984
32,0.0002,0.142336,0.113664,0.162816,0.192512
64,0.0001,0.2304,0.147456,0.177152,0.222208
128,0.0001,0.233472,0.150528,0.159744,0.135168
256,0.0006,0.437248,0.175104,0.172032,0.154624
512,0.0007,0.253952,0.193536,0.180224,0.150528
1024,0.001,0.421888,0.2048,0.182272,0.160768
2048,0.0009,0.279552,0.392192,0.159744,0.1792
4096,0.0046,0.278528,0.326656,0.139264,0.14336
8192,0.0078,0.339968,0.262144,0.161792,0.123904
16384,0.0102,0.365568,0.282624,0.172704,0.131072
32768,0.0191,0.556032,0.306176,0.170784,0.156256
65536,0.0405,0.658432,0.329728,0.165888,0.149504
131072,0.6173,1.11104,0.346112,0.217088,0.48128
262144,1.1716,2.11046,0.492544,0.201632,0.536576
524288,4.1156,3.96422,0.763904,0.298784,0.521152
1048576,5.0676,8.68285,1.33018,0.359424,0.530432
2097152,9.3184,16.4447,2.06234,0.61024,0.598016
4194304,18.6897,31.8985,4.16701,0.854016,0.677888
8388608,37.722,64.2243,6.8007,1.50835,0.902496
16777216,78.4394,128.552,16.8387,2.87792,2.78938
33554432,152.939,264.295,22.2884,5.62029,2.08739
67108864,306.797,525.804,65.1991,10.9628,3.57069
16,0.0001,0.229376,0.109568,0.167936,0.149504
32,0.0001,0.243712,0.131072,0.162816,0.443392
64,0.0002,0.186368,0.14848,0.17408,0.144384
128,0.0002,0.233472,0.15872,0.726016,0.152576
256,0.0004,0.15872,0.172032,0.171008,0.233472
512,0.0006,0.26112,0.206848,0.180224,0.144384
1024,0.0005,0.251904,0.223232,0.712704,0.145408
2048,0.0024,0.2816,0.221184,0.154624,0.242688
4096,0.002,0.273408,0.248832,0.152576,0.159744
8192,0.0034,0.304128,0.25088,0.114688,0.125952
16384,0.0136,0.478208,0.292864,0.198656,0.150528
32768,0.0189,0.456096,0.320512,0.178112,0.166432
65536,0.0386,0.673792,0.329728,0.200096,0.17408
131072,0.5997,1.06394,0.357376,0.195584,0.395744
262144,1.2105,2.10022,0.413696,0.252928,0.99392
524288,2.3781,4.25677,0.71168,0.30208,0.497184
1048576,5.8333,8.55808,1.10285,0.77408,0.539648
2097152,9.7722,16.0652,2.47603,0.59904,0.548864
4194304,19.889,31.942,3.41299,0.906816,0.611168
8388608,37.4846,64.0264,6.63834,1.55136,0.811616
16777216,74.8376,131.744,11.4343,2.87437,1.26054
33554432,155.052,273.596,30.3278,5.57357,1.96784
67108864,319.835,587.39,169.267,11.9151,30.0042
16,0.0001,0.166912,0.11264,0.154624,0.160768
32,0.0001,0.177152,0.120832,0.135168,0.157696
64,0.0002,0.187392,0.149504,0.13312,0.1024
128,0.0002,0.360448,0.15872,0.140288,0.136192
256,0.0004,0.30208,0.20992,0.22016,0.139264
512,0.0004,0.529408,0.191488,0.183296,0.114688
1024,0.0009,0.227328,0.221184,0.142336,0.222208
2048,0.002,0.242688,0.406528,0.140288,0.119808
