Array Size,Thrust time (s),Radix sort time (s)
13,0.0114,6.35904
29,0.0051,6.5577
61,0.0028,5.05958
125,0.0092,5.43133
253,0.0046,6.43994
509,0.0147,6.97139
1021,0.0097,4.73085
2045,0.0155,6.32115
4093,0.0268,6.70928
8189,0.0883,6.43482
16381,0.1664,5.36986
32765,0.3246,6.44301
65533,2.379,9.59283
131069,1.3385,7.59094
262141,2.5597,16.8663
524285,7.4687,21.3627
1048573,13.5241,33.6855
2097149,23.0565,52.1738
4194301,95.8414,85.8706
8388605,193.395,154.743
16777213,385.13,298.556
33554429,755.448,576.983
67108861,1460.42,1143.9
134217725,2912.36,2251.19
13,0.0027,6.83622
29,0.0071,8.32816
61,0.0209,7.98515
125,0.0088,8.01485
253,0.0059,8.25344
509,0.0464,6.98573
1021,0.0224,5.15994
2045,0.0472,6.61811
4093,0.0425,6.23616
8189,0.0779,7.04102
16381,0.3436,7.47418
32765,0.2904,5.24595
65533,0.848,10.0792
131069,1.3111,10.2861
262141,3.0369,17.6998
524285,5.0796,22.7092
1048573,10.9716,32.7035
2097149,21.3974,49.9927
4194301,89.5675,82.9
8388605,176.263,153.484
16777213,375.681,288.316
33554429,758.883,562.341
67108861,1507.65,1139.11
134217725,2951.6,2333.28
13,0.0047,6.93658
29,0.0204,7.34618
61,0.003,5.9863
125,0.019,6.91814
253,0.0212,7.42912
509,0.0125,6.39078
1021,0.0142,7.0359
2045,0.0475,4.80154
4093,0.098,6.8055
8189,0.12,7.10758
16381,0.2552,7.2704
32765,0.2866,7.20077
65533,0.5574,5.47123
131069,2.0262,9.31635
262141,3.1683,17.6947
524285,5.0057,24.8627
1048573,11.1775,34.7105
2097149,21.3271,49.794
4194301,98.7222,83.5379
8388605,184.13,187.098
16777213,384.997,290.199
33554429,785.93,585.217
67108861,1490.99,1143.29
134217725,2918.26,2277.15
13,0.0026,7.66976
29,0.0047,6.27098
61,0.0209,8.10803
125,0.0092,8.49613
253,0.0114,6.68467
509,0.0207,7.58067
1021,0.047,7.16595
2045,0.0217,6.10816
4093,0.0472,7.88992
8189,0.1791,7.71072
16381,0.1877,7.48032
32765,0.3148,7.66054
65533,0.5593,8.5207
