Array Size,Thurst time (s),Radix time (s)
16,0.0075,5.7385
32,0.0029,5.79277
64,0.003,6.67955
128,0.0039,5.75795
256,0.0146,5.64122
512,0.0057,7.1168
1024,0.0099,5.05549
2048,0.0245,5.10771
4096,0.0604,4.72371
8192,0.1095,5.17018
16384,0.1496,6.00166
32768,0.3017,6.87514
65536,0.6076,7.84282
131072,1.8703,6.86285
262144,2.6927,17.0732
524288,7.218,21.8931
1048576,13.1339,33.066
2097152,53.8283,47.2914
4194304,98.1962,84.779
8388608,192.116,156.204
16777216,384.223,294.75
33554432,753.74,583.485
67108864,1455.86,1140.21
134217728,2905.27,2271.62
16,0.0028,8.04864
32,0.0069,7.77114
64,0.0075,6.9335
128,0.0225,7.76704
256,0.0126,8.93338
512,0.0102,5.98835
1024,0.0217,7.4752
2048,0.0488,7.05434
4096,0.0426,6.79219
8192,0.1388,6.79219
16384,0.1871,6.95706
32768,0.3565,7.0103
65536,0.5737,8.81459
131072,1.2749,10.1192
262144,2.5403,19.0894
524288,7.6741,22.5772
1048576,10.8598,31.829
2097152,48.0994,48.8622
4194304,100.074,81.3814
8388608,182.265,148.377
16777216,363.53,290.737
33554432,726.753,586.126
67108864,1452.12,1145.14
134217728,2987.53,2290.31
16,0.0047,5.23776
32,0.0072,5.98016
64,0.0031,4.4185
128,0.0061,5.32582
256,0.0425,5.08928
512,0.0146,6.53722
1024,0.0094,5.40058
2048,0.0239,5.39955
4096,0.0571,6.15526
8192,0.0768,6.32627
16384,0.1751,6.14502
32768,0.465,4.93568
65536,0.5712,7.48237
131072,1.3224,8.15718
262144,3.2329,17.7244
524288,5.2811,20.8517
1048576,10.9641,32.4526
2097152,56.7159,47.5709
4194304,97.6484,80.9871
8388608,203.317,151.078
16777216,393.484,291.817
33554432,728.65,576.188
67108864,1456.58,1142.02
134217728,2889.64,2273.59
16,0.0191,4.80256
32,0.0068,4.40115
64,0.0046,6.75123
128,0.0099,6.83008
256,0.0135,4.5353
512,0.0145,6.94886
1024,0.0227,8.86374
2048,0.0236,7.48032
4096,0.067,5.21216
8192,0.1035,8.0128
16384,0.1857,7.7353
32768,0.3048,7.87558
65536,0.5833,8.61389
131072,1.4805,8.61389
262144,2.5592,16.5806
524288,7.0234,23.4988
1048576,11.4328,31.83
2097152,45.9475,49.6077
4194304,94.4369,82.9665
