Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),Shared Memory SC (s)
13,0.0002,0.0002,0.720896,0.982016
29,0.0002,0.0003,0.82224,0.79872
61,0.0003,0.0005,0.697344,0.95024
125,0.0009,0.0007,0.828384,0.985088
253,0.0015,0.001,0.658432,0.710656
509,0.0031,0.0018,0.692256,0.703456
1021,0.0059,0.0046,0.854016,0.80384
2045,0.0054,0.0065,0.780288,1.07626
4093,0.0112,0.015,0.9728,1.17658
8189,0.0211,0.0279,1.05062,0.957472
16381,0.0447,0.0468,1.13661,0.969728
32765,0.0863,0.1019,1.29331,1.13869
65533,0.2166,0.1973,2.33981,2.29171
131069,0.3527,0.3962,2.78835,3.59322
262141,0.7975,0.8009,5.54595,5.47021
524285,1.4489,1.7087,9.43104,10.4837
1048573,3.7309,4.8495,16.6769,16.6062
2097149,6.277,6.2643,30.2561,31.7583
4194301,10.7375,13.9408,58.4632,57.0798
8388605,22.7739,27.6602,117.072,112.317
16777213,46.2932,49.1884,239.304,222.278
33554429,89.3897,94.6494,473.875,442.609
67108861,179.822,182.458,939.836,891.446
134217725,348.832,356.807,1874.61,1777.51
268435453,707.613,714.138,3751.79,3550.8
13,0.0002,0.0002,0.915456,0.827392
29,0.0003,0.0002,0.7168,1.09875
61,0.0004,0.0004,0.75776,0.950272
125,0.0008,0.0006,0.846848,0.891904
253,0.0007,0.0009,0.95744,1.01478
509,0.0027,0.0017,1.00762,1.024
1021,0.0028,0.0029,0.909312,0.922624
2045,0.0057,0.0057,0.930816,1.03117
4093,0.0108,0.0125,1.21139,0.95232
8189,0.0205,0.0356,1.06496,1.01581
16381,0.0423,0.067,1.08646,1.36704
32765,0.0868,0.1108,1.49299,1.38342
65533,0.2201,0.1971,1.82886,2.27021
131069,0.3351,0.4159,3.37306,3.84307
262141,0.69,0.8614,5.05754,6.37338
524285,1.3477,1.8876,8.43571,9.08288
1048573,2.7091,3.0164,16.8325,16.3062
2097149,6.1722,6.2,30.1906,29.5936
4194301,10.8771,11.3662,58.5605,55.934
8388605,21.2667,22.4057,113.196,110.674
16777213,45.0367,45.5992,232.41,219.608
33554429,87.1675,91.2534,470,441.127
67108861,177.383,178.474,939.366,887.805
134217725,354.253,352.176,1865.74,1765.57
268435453,705.847,702.175,3760.55,3558.83
13,0.0001,0.0001,1.06291,1.02093
29,0.0004,0.0003,0.82432,0.932864
61,0.0006,0.0003,0.837632,0.868352
125,0.0009,0.0007,1.34144,1.08749
253,0.0015,0.001,0.871424,0.949248
509,0.0026,0.0018,1.12742,1.33837
1021,0.0051,0.0034,0.816128,0.866304
2045,0.0093,0.0056,0.997376,0.9472
4093,0.0372,0.0115,0.995328,1.12742
8189,0.0234,0.0231,1.06701,0.961536
16381,0.0417,0.0454,1.14995,1.23494
32765,0.0843,0.1094,1.71622,1.44384
65533,0.1684,0.2022,1.78483,3.52563
131069,0.3399,0.4201,3.03206,3.92499
262141,0.6471,0.9515,4.8425,5.89312
524285,1.2947,1.6137,8.63846,9.06342
1048573,2.9387,4.0552,17.2575,16.3871
2097149,5.4765,6.2996,30.9228,29.7615
4194301,10.9182,10.8663,59.0602,57.5212
8388605,21.5157,22.8875,115.045,110.313
16777213,44.1418,45.6427,231.4,221.084
33554429,86.1577,93.1426,468.585,442.849
67108861,179.014,181.223,942.884,885.734
134217725,352.283,360.735,1886.1,1780.3
268435453,710.144,713.965,3742.75,3537.85
13,0.0002,0.0003,0.867328,0.79872
29,0.0004,0.0003,0.712704,0.749568
61,0.0003,0.0003,0.84992,0.932864
125,0.0008,0.0007,0.949248,1.70086
253,0.0008,0.0009,0.941056,1.06189
509,0.0027,0.0016,0.857088,0.785408
1021,0.0031,0.0033,0.900096,0.859136
2045,0.0054,0.0061,1.31686,1.3312
4093,0.0111,0.0118,0.958464,1.01376
8189,0.0214,0.0229,1.0752,0.959488
16381,0.0569,0.0472,1.15712,1.18682
32765,0.0894,0.1108,1.53395,1.41005
65533,0.1829,0.2412,1.82989,2.31117
131069,0.5066,0.4403,2.94093,3.69664
262141,0.6931,0.8795,5.00736,5.41798
524285,1.8149,1.5786,9.20064,9.63277
1048573,2.6406,2.8911,18.0081,15.8065
2097149,5.2633,5.8979,29.7062,30.7958
4194301,11.9074,12.0845,59.1328,57.1156
8388605,21.4079,23.1553,115.594,111.188
16777213,44.6963,45.6747,231.713,221.179
33554429,86.2805,92.0319,467.62,441.297
67108861,177.415,181.465,943.12,884.221
134217725,354.488,359.487,1873.8,1781.25
268435453,706.016,706.528,3733.15,3549.53
13,0.0001,0.0001,0.843776,0.831488
29,0.0004,0.0005,0.663552,0.780288
61,0.0003,0.0003,0.68608,1.65581
125,0.0005,0.0005,1.6087,1.21958
253,0.0015,0.0008,0.978944,0.93184
509,0.0018,0.0016,0.88576,0.990208
1021,0.0038,0.0031,0.935936,0.980992
2045,0.0053,0.0059,0.940032,0.815104
4093,0.0333,0.0115,1.63635,1.09875
8189,0.0217,0.0231,0.994304,1.01069
16381,0.0434,0.0452,1.18067,0.987136
32765,0.0846,0.1084,1.31686,1.28717
65533,0.3817,0.174,2.06234,2.98598
131069,0.3854,0.373,3.28704,3.48979
262141,0.7878,0.8041,5.15174,6.62118
524285,1.4048,1.5644,8.77363,8.95488
1048573,3.0137,2.9487,16.0276,16.554
2097149,5.3202,5.8818,29.95,29.993
4194301,11.251,11.5539,58.241,57.1566
8388605,22.5801,22.5499,113.812,110.073
16777213,42.489,44.9387,236.707,221.038
33554429,88.2472,89.5112,469.083,439.737
67108861,177.742,177.564,931.93,886.819
134217725,356.408,354.718,1894.07,1779.53
268435453,710.087,709.742,3737.78,3537.69
13,0.0002,0.0002,1.0025,1.09363
29,0.0002,0.0002,0.88064,1.50938
61,0.0006,0.0003,1.00762,0.90624
125,0.0004,0.0006,0.841728,0.984064
253,0.0018,0.001,0.734208,1.04243
509,0.0026,0.0017,0.935936,1.05882
1021,0.0049,0.0031,0.886784,0.876544
2045,0.0056,0.0058,0.896,0.846848
4093,0.0106,0.0112,0.98816,0.934912
8189,0.0215,0.0245,1.03322,1.28922
16381,0.074,0.0767,1.34144,1.20934
32765,0.0829,0.1085,1.47763,1.35885
65533,0.1718,0.2194,1.92614,2.56
131069,0.3599,0.3906,2.84672,3.61677
262141,0.644,0.9719,4.8128,5.72518
524285,1.367,1.8126,9.63686,9.69318
1048573,3.189,3.0282,15.999,15.4931
2097149,5.6439,5.5853,30.6852,29.4646
4194301,12.4116,13.109,57.7413,56.2156
8388605,21.6358,23.8141,113.891,109.804
16777213,42.6556,47.6581,232.454,222.023
33554429,91.2014,90.076,472.402,440.998
67108861,174.964,179.26,947.121,883.885
134217725,351.065,358.236,1882.03,1775.82
268435453,709.357,712.204,3759.39,3556.52
13,0.0001,0.0002,0.804864,0.949248
29,0.0002,0.0002,0.862208,0.894976
61,0.0002,0.0003,1.05686,0.925696
125,0.0008,0.0006,0.910336,0.915456
253,0.0013,0.001,0.878592,1.38854
509,0.0016,0.0016,1.00659,0.915456
1021,0.0029,0.003,0.796672,1.38035
2045,0.0095,0.0056,0.985088,0.806912
4093,0.0105,0.0112,1.03424,1.1049
8189,0.037,0.0227,1.06906,1.74592
16381,0.0779,0.0455,1.62099,1.27898
32765,0.0829,0.1405,1.4633,2.02957
65533,0.1771,0.1989,1.96198,2.5047
131069,0.3476,0.483,2.86106,3.57786
262141,0.6807,1.0455,5.00941,5.48147
524285,1.3921,1.5491,9.22726,9.07878
1048573,2.6445,2.9494,16.6205,16.0676
2097149,5.6502,5.9476,30.3616,29.7492
4194301,10.8748,11.7123,58.8626,57.0675
8388605,21.3219,23.1063,115.746,109.908
16777213,43.631,45.202,232.412,220.451
33554429,87.5901,100.256,466.648,442.93
67108861,178.953,178.691,932.509,894.549
134217725,365.423,353.987,1886.4,1778.32
268435453,709.55,703.255,3735.14,3546.78
13,0.0002,0.0002,1.53088,1.03629
29,0.0006,0.0003,0.789504,1.08442
61,0.0005,0.0006,1.12435,0.992256
125,0.0009,0.001,0.841728,0.91136
253,0.0017,0.001,0.841728,1.13152
509,0.0028,0.0018,0.876544,1.04858
1021,0.0053,0.0034,1.14688,1.44282
2045,0.0058,0.006,1.4121,1.08237
4093,0.0241,0.0111,1.03117,0.960512
8189,0.0212,0.024,1.2329,1.06701
16381,0.0426,0.0443,1.07827,1.56262
32765,0.0813,0.1075,1.46842,1.17453
65533,0.1722,0.1788,1.93843,2.89075
131069,0.3423,0.4095,2.88256,4.00589
262141,0.7037,0.9351,5.05651,6.30477
524285,1.7413,1.6418,8.82483,9.58157
1048573,2.8424,3.4854,15.8771,16.4864
2097149,7.0964,5.8809,30.6801,29.3243
4194301,10.8652,11.4392,57.9635,56.2371
8388605,26.4524,23.0585,115.761,108.79
16777213,44.8852,47.8367,229.576,219.959
33554429,95.9369,88.2889,465.057,443.056
67108861,175.271,177.617,936.014,886.519
134217725,354.349,349.507,1871.21,1772.5
268435453,706.536,710.379,3721.48,3544.63
13,0.0001,0.0002,0.790528,0.953344
