Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),
16,0.0002,0.0002,0.91648,1.0281
32,0.0004,0.0003,0.647168,0.813056
64,0.0004,0.0004,0.873472,0.927744
128,0.0009,0.0006,0.670752,1.16736
256,0.001,0.0011,0.702464,1.12538
512,0.0016,0.0016,0.770048,0.741408
1024,0.0029,0.0041,0.763872,0.845856
2048,0.0056,0.006,0.813088,0.859168
4096,0.0119,0.0144,0.837632,0.817152
8192,0.0284,0.0307,1.61894,0.81616
16384,0.0435,0.0459,1.07312,1.40493
32768,0.0819,0.1082,1.27386,1.40083
65536,0.1767,0.1872,2.44429,2.688
131072,0.4384,0.5142,3.09043,3.70688
262144,0.8429,0.9013,4.66947,5.77434
524288,1.7027,1.5088,8.37632,8.94771
1048576,2.7156,2.9924,15.6723,16.8571
2097152,5.6164,5.816,29.8312,30.5746
4194304,11.0421,10.9035,60.1344,57.8857
8388608,24.7709,22.5186,116.532,119.439
16777216,44.8604,46.321,238.13,224.6
33554432,93.11,91.0134,475.415,448.19
67108864,176.681,178.824,937.818,882.165
134217728,335.069,346.269,1893.06,1776.24
268435456,682.426,671.694,3739.07,3544.18
16,0.0001,0.0002,0.7424,0.835584
32,0.0002,0.0003,0.917504,0.807936
64,0.0006,0.0004,0.866304,0.95232
128,0.0009,0.0005,0.789504,1.01171
256,0.001,0.0011,0.894976,0.979968
512,0.0029,0.0016,0.963584,0.904192
1024,0.0055,0.0033,0.809984,0.80384
2048,0.0061,0.006,0.91648,1.39059
4096,0.0196,0.0113,1.22573,1.05165
8192,0.0208,0.0227,1.08237,1.03322
16384,0.0431,0.0508,1.12742,1.18374
32768,0.0844,0.1259,1.52883,1.36397
65536,0.1792,0.1813,1.9753,2.53542
131072,0.3307,0.3741,3.41299,3.53075
262144,0.7054,1.0571,5.46918,5.85523
524288,1.4983,1.4961,9.09926,9.17504
1048576,2.716,2.968,16.1966,16.3226
2097152,5.2369,5.7434,30.7589,29.8158
4194304,10.4689,13.818,58.1765,56.5361
8388608,23.0293,25.2703,115.842,109.529
16777216,42.7821,44.5829,232.839,225.388
33554432,81.2208,86.1327,472.843,444.895
67108864,174.556,177.227,939.284,888.444
134217728,336.501,350.886,1866.95,1783.43
268435456,695.409,693.268,3776.2,3559.09
16,0.0001,0.0002,0.715776,1.17658
32,0.0002,0.0002,0.941056,1.09568
64,0.0004,0.0003,1.57286,1.0281
128,0.0006,0.0005,0.862208,0.9728
256,0.0018,0.0011,0.82944,0.953344
512,0.0021,0.0016,0.881664,1.08544
1024,0.0046,0.0032,0.927744,1.05062
2048,0.0056,0.0064,0.812032,0.799744
4096,0.0119,0.0124,0.866304,1.44077
8192,0.0226,0.0221,1.08749,0.900096
16384,0.0415,0.0568,1.17658,1.26157
32768,0.0849,0.0939,2.26918,1.36704
65536,0.3475,0.1838,1.90669,2.74534
131072,0.3615,0.3942,3.10784,4.23219
262144,0.6836,0.8785,5.09747,5.56237
524288,1.3727,1.503,9.07366,9.87546
1048576,2.4496,2.98,15.8167,17.0004
2097152,5.6101,5.7071,30.292,29.9858
4194304,10.8534,11.1383,58.0997,55.9831
8388608,19.7415,23.5885,115.645,110.109
16777216,41.1805,43.1234,230.966,222.432
33554432,81.8753,86.9055,473.051,443.28
67108864,172.542,174.449,945.819,884.19
134217728,340.058,347.199,1891.72,1791.73
268435456,697.402,675.506,3753.65,3550.87
16,0.0001,0.0001,0.678912,0.924672
32,0.0004,0.0003,0.676864,0.857088
64,0.0004,0.0006,0.760832,0.837632
128,0.0006,0.0006,0.904192,1.66298
256,0.0011,0.0011,1.60563,1.10899
512,0.0017,0.0016,1.0199,1.02195
1024,0.0027,0.0033,0.792576,0.782336
2048,0.0059,0.0062,0.82944,0.818176
4096,0.012,0.0119,1.19706,0.835584
8192,0.0348,0.0229,1.03219,1.13254
16384,0.0435,0.0482,1.32608,1.48582
32768,0.0872,0.09,1.39571,1.27693
65536,0.1685,0.1951,1.77869,2.23334
131072,0.6534,0.4195,3.03923,3.52973
262144,0.6765,0.9126,4.80973,6.25664
524288,1.4064,1.483,8.77466,9.57338
1048576,2.6332,2.9762,16.5581,16.1382
2097152,5.8366,5.8789,31.316,29.5414
4194304,14.0794,11.7911,59.0254,55.9012
8388608,23.701,24.2535,115.457,108.713
16777216,42.4542,44.2609,232.083,221.307
33554432,83.2737,87.2814,463.908,443.645
67108864,164.23,166.429,943.967,885.699
134217728,345.449,348.521,1858.35,1779.99
268435456,680.071,712.412,3758.54,3557.33
16,0.0002,0.0002,0.903168,0.9728
